ID,SMILES,Cluster,UMAP1,UMAP2,UMAP3
139,C(C(CC1CCCCC1)(CC2CCCCC2)C(O3)=N[C@@H]4[C@H]3CC5=C4C=CC=C5)(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.27594456,8.765157,5.834317
140,CC(C=C1C)=CC(C)=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=C(C)C=C(C)C=C5C)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.08306647,8.165948,5.8533816
141,CC(C)C(C=C1)=CC=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC=C(C(C)C)C=C5)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.15800214,8.375828,5.8271194
142,CC(C=C1)=CC=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=C(C5=C(C=CC=C6)C6=CC7=C5C=CC=C7)C=C4)(CC8=CC=C(C)C=C8)C(O9)=N[C@@H]%10[C@H]9CC%11=C%10C=C(C%12=C(C=CC=C%13)C%13=CC%14=C%12C=CC=C%14)C=C%11,5,0.034069084,7.109813,6.016255
143,CC(C=C1)=CC=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=C(C5=C(C=CC=C6)C6=CC=C5C)C=C4)(CC7=CC=C(C)C=C7)C(O8)=N[C@@H]9[C@H]8CC%10=C9C=C(C%11=C(C)C=CC%12=C%11C=CC=C%12)C=C%10,5,0.032400444,7.0965333,6.0186067
144,CC(C=C1)=CC=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=C(C5=C(C)C=C(C)C=C5C)C=C4)(CC6=CC=C(C)C=C6)C(O7)=N[C@@H]8[C@H]7CC9=C8C=C(C%10=C(C)C=C(C)C=C%10C)C=C9,5,0.033877414,7.105114,6.0165844
145,C(C(CC1CCCC1)(CC2CCCC2)C(O3)=N[C@@H]4[C@H]3CC5=C4C=CC=C5)(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8,5,0.27552027,8.764394,5.833101
146,C(C(CC1CC(C=CC=C2)=C2C1)(CC3CC(C=CC=C4)=C4C3)C(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7)(O8)=N[C@@H]9[C@H]8CC%10=C9C=CC=C%10,5,0.27348095,8.76446,5.832619
147,CC(C(C=C1)=CC(C(C)(C)C)=C1CC(C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(CC5=CC=C(C(C)(C)C)C=C5C(C)(C)C)C(O6)=N[C@@H]7[C@H]6CC8=C7C=CC=C8)(C)C,5,0.117873535,8.014017,5.9328904
148,CC(C)(C)[C@@H](CO1)N=C1C2=NC=CC=C2,7,10.154723,-1.767248,10.076733
149,CC(C)[C@@H](CO1)N=C1C2=NC=CC=C2,7,10.40141,-1.3579899,10.239408
150,C1(C2=N[C@@H](CC3=CC=CC=C3)CO2)=NC=CC=C1,3,8.827504,0.21548572,12.110934
151,CC(C)(C)[C@H](CO1)N=C1C2=NC=CC=N2,7,10.15657,-1.8145772,10.117126
152,CC(C)(C)[C@@H](CO1)N=C1C2=NC=CC(C(F)(F)F)=C2,7,10.175614,-1.7980525,10.110416
153,C1(C2=N[C@@H](C(C=CC=C3)=C3C4)[C@@H]4O2)=NC=CC=C1,9,9.101295,4.3607607,13.276295
154,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=NC=CC=C1,3,8.846552,0.14678048,12.292271
155,CC(C)(C)[C@@H](CO1)N=C1C2=NC=C(C(F)(F)F)C=C2,7,10.172567,-1.8112818,10.112879
156,CC(C)(C)[C@@H](CO1)N=C1C2=NC(CC3=CC=CC=C3)=CC=C2,7,10.107753,-1.9358519,10.231442
157,CC(C)[C@H](CO1)N=C1C2=NC=CN=C2,7,10.39017,-1.353899,10.294687
158,CC(C)[C@@H](CO1)N=C1C2=NC(C)=CC(OC)=C2,7,10.397384,-1.3429178,10.304107
159,CC(C)[C@@H](CO1)N=C1C2=NC(C(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2,7,10.582145,-1.1881931,10.160213
160,C1(C2=N[C@H](C3=CC=CC=C3)CO2)=NC=CC=N1,3,8.84983,0.13890974,12.290026
161,CC(C)[C@H](CO1)N=C1C2=NC(C3=CC=CC=C3)=CC=C2,7,10.5517645,-1.2003472,10.173387
162,CC(C)(C)[C@H](CO1)N=C1C2=NC(C3=CC=CC=C3)=CC=C2,7,10.072284,-1.9787745,10.270761
163,FC(C1=CC(C2=N[C@H](C(C=CC=C3)=C3C4)[C@H]4O2)=NC=C1)(F)F,9,9.088424,4.297108,13.024944
164,FC(C1=CC(C2=N[C@@H](C3=CC=CC=C3)[C@@H](C4=CC=CC=C4)O2)=NC=C1)(F)F,9,9.0465,4.1464295,12.380645
165,FC(C1=CN=C(C2=N[C@H](C3=CC=CC=C3)[C@@H](C4=CC=CC=C4)O2)C=C1)(F)F,9,9.003606,4.0979404,12.305955
166,CC1=CC=CC(C2=N[C@H](C3=CC=CC=C3)CO2)=N1,3,8.847632,0.13859186,12.33917
167,C1(C2=CC=CC=C2)=CC=CC(C3=N[C@H](C(C=CC=C4)=C4C5)[C@H]5O3)=N1,9,9.129569,4.392444,13.311363
168,C1(C2=N[C@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)O2)=NC=CC=C1,9,8.997936,4.114633,12.281303
169,C1(CCCC2)=C2N=C(C3=N[C@H](C4=CC=CC=C4)C(C5=CC=CC=C5)(C6=CC=CC=C6)O3)C=C1,0,9.090488,5.627375,7.278451
170,C1(CC2=CC=CC=N2)=N[C@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)O1,9,8.955012,4.2454123,11.996918
171,CC[C@H](CO1)N=C1CC2=CC=CC=N2,7,10.275834,-1.5166699,9.900344
172,C[C@H](CO1)N=C1CC2=CC=CC=N2,7,10.262398,-1.5416145,9.887896
173,C1(C(C2CCCC2)C3CCCC3)=CC=CC(C4=N[C@@H](C(C=CC=C5)=C5C6)[C@@H]6O4)=N1,9,9.115539,4.3811207,13.320566
174,CC(C1=CC=CC(N1)=O)(C)C2=N[C@H](C3=CC=CC=C3)CO2,0,9.453352,4.4484243,8.442516
175,O=C(N1)C=CC=C1C2(CCCCC2)C3=N[C@H](C4=CC=CC=C4)CO3,9,11.21188,8.4023905,10.259952
176,O=C(N1)C=CC=C1C(C)(C)C2=N[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)O2,9,8.787771,4.4269714,11.542454
177,CC(C1=CC=CC(N1)=O)(C)C2=N[C@@H](C(C)(C)C)CO2,7,11.032176,-0.4102637,7.7433057
178,CC(C)C[C@H](CO1)N=C1C2=NC(C(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2,7,10.63498,-1.1353618,10.054497
179,C1(C2CC2)=CC=CC(C3=N[C@@H](C4CCCCC4)CO3)=N1,7,10.864665,-0.9553734,9.779832
180,C12=CC=CC=C1C=CC(C3=N[C@H](C4=CC=CC=C4)CO3)=N2,3,8.834342,0.1528364,12.3258915
181,C12=CC=CC=C1C=CC(C3=N[C@H](C(C=CC=C4)=C4C5)[C@H]5O3)=N2,9,9.1447935,4.4075546,13.31425
182,CC(C)(C)[C@@H](CO1)N=C1C2=NC3=CC=CC=C3C=C2,7,10.150668,-1.8793722,10.192588
183,CC(C)[C@H](CO1)N=C1C2=NC3=CC=CC=C3C=C2,7,10.429959,-1.3397192,10.2645645
184,CC(C)[C@H](CO1)N=C1C2=NC=CC3=C2C=CC=C3,7,10.416236,-1.335925,10.26159
185,C1(C=CC=C2)=C2N=C(C3=N[C@H](C4=CC=CC=C4)[C@@H](C5=CC=CC=C5)O3)C=C1,9,9.026207,4.1012807,12.294426
186,C1(C=CC=C2)=C2N=C(C3=NCCO3)C=C1,7,10.40387,-1.1009574,10.625768
187,C1(C=CC=N2)=C2N=C(C3=N[C@@H](C4=CC=CC=C4)[C@@H](C5=CC=CC=C5)O3)C=C1,9,9.002506,4.1009736,12.276354
188,C12=CC=CC=C1C=CC(C3=N[C@@H](CC4=CC=CC=C4)CO3)=N2,3,8.797564,0.23010099,12.141709
189,CC(C)(C)[C@@H](CO1)N=C1C2=NC3=C(CCCC3)C=C2,7,10.182721,-1.8878531,10.169214
190,C1(CCCC2)=C2N=C(C3=N[C@@H](C(C=CC=C4)=C4C5)[C@@H]5O3)C=C1,9,9.149021,4.4132323,13.335315
191,C1(C2=N[C@@H](C(C=CC=C3)=C3C4)[C@@H]4O2)=NC=CC5=C1C=CC=C5,9,9.127792,4.3902726,13.307334
192,C12=CN=C(C3=N[C@@H](C(C=CC=C4)=C4C5)[C@@H]5O3)C=C1C=CC=C2,9,9.158321,4.418453,13.291736
193,CC(C)(C)[C@H](CO1)N=C1C2=NC3=C(C=CC=N3)C=C2,7,10.129555,-1.8799646,10.17344
194,C1(SC(C2=N[C@@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)O2)=C5)=C5C=CC=C1,9,9.013277,4.00652,12.257861
195,C1(SC(C2=N[C@@H](CC3=CC=CC=C3)CO2)=C4)=C4C=CC=C1,3,9.126997,0.1507482,11.751848
196,C1(SC(C2=N[C@@H](C3=CC=CC=C3)CO2)=C4)=C4C=CC=C1,3,9.13394,0.16231172,11.742539
197,CC(C)(C)[C@H](CO1)N=C1C2=CC3=C(S2)C=CC=C3,3,9.172185,0.119623296,11.700402
198,CC(C)[C@H](CO1)N=C1C2=CC3=C(S2)C=CC=C3,3,9.164164,0.12906219,11.709677
199,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=N[C@H](C5=CC=CC=C5)CO4)C=CC=C1,3,5.8828177,1.1994044,12.834853
200,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=N[C@H](CC5=CC=CC=C5)CO4)C=CC=C1,3,6.0005584,1.1750048,12.924905
201,CC(C[C@H](CO1)N=C1C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)C,3,6.118265,1.2003939,12.898141
202,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=N[C@H](C5CCCCC5)CO4)C=CC=C1,3,6.024456,1.1744223,12.915729
203,CC(C)[C@H](CO1)N=C1C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,3,6.190081,1.2362214,12.793458
204,C[C@@H](CC)[C@@H](CO1)N=C1C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,3,6.0767193,1.1862636,12.859165
205,CC(C)C[C@@H](CO1)N=C1C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,3,6.098118,1.1874534,12.863345
206,CC(C)[C@@H](C(C)(C)O1)N=C1C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,3,6.1479607,1.8142136,12.820068
207,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=N[C@H](C(C=CC=C5)=C5C6)[C@H]6O4)C=CC=C1,3,6.0196023,2.03306,12.944758
208,CC(C)[C@@H](C(C1=CC=CC=C1)(C2=CC=CC=C2)O3)N=C3C4=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C4,3,6.1012893,1.8949077,12.852844
209,CC(C)(C)[C@@H](C(C1=CC=CC=C1)(C2=CC=CC=C2)O3)N=C3C4=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C4,3,6.085977,1.9101691,12.862769
210,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=N[C@H](C5=CC=CC=C5)C(C6=CC=CC=C6)(C7=CC=CC=C7)O4)C=CC=C1,3,6.0581665,1.9709895,12.900991
211,COC1=CC(C2=N[C@@H](C3=CC=CC=C3)CO2)=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,3,5.8418493,1.1766071,12.798904
212,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4)C=CC=C1,3,6.04058,2.008164,12.921833
213,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(C4=N[C@H](C5=CC=CC=C5)[C@@H](C6=CC=CC=C6)O4)C=CC=C1,3,6.0188847,2.0382664,12.948428
214,CC([C@@H](CO1)N=C1[C@@H]2N(P(C3=CC=CC=C3)C4=CC=CC=C4)CCCC2)C,3,6.4402905,1.1355618,12.685058
215,CC([C@H](CO1)N=C1C2=C(P(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C=CC(C(F)(F)F)=C2)(C)C,3,5.5103016,1.1616155,12.804477
216,CC(C)[C@@H](CO1)N=C1C2=C(P(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C=CC=C2,3,5.5527964,1.1828707,12.823053
217,FC(C(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=C(C4=N[C@H](C5=CC=CC=C5)CO4)C=CC=C3)(F)F,3,5.5600386,1.15435,12.796799
218,CC([C@@H](CO1)N=C1C2=C(P(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C=CC=C2)(C)C,3,5.489452,1.1817192,12.823213
219,CC(C)[C@@H](CO1)N=C1C2=C(P(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)C=CC=C2,3,5.947637,1.1696566,12.792389
220,ClC1=CC=CC(P(C2=CC=CC=C2)C3=CC=CC=C3)=C1C4=N[C@H](CC5=CC=CC=C5)CO4,3,6.034235,1.1991125,12.932752
221,CC([C@@H](CO1)N=C1CC2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)(C)C,3,4.63608,1.6003622,13.315749
222,CC(C1=N[C@@H](C(C)(C)C)CO1)(C)C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,3,4.648886,1.6078296,13.315275
223,CC(C1=N[C@@H](C(C)C)CO1)(C)CP(C2=CC=CC=C2)C3=CC=CC=C3,0,10.659366,3.0246878,7.703695
224,CC(C)([C@H]1COC(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C([Fe]C5C=CC=C5)C=C2)=N1)C,3,4.3906364,1.5871795,13.6028385
225,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C([Fe]C6C=CC=C6)C=C1,3,4.361915,1.5668144,13.63793
226,CC([C@H]1COC(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C([Fe]C5C=CC=C5)C=C2)=N1)C,3,4.3634834,1.5832405,13.632205
227,CC(C)C[C@H]1COC(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C([Fe]C5C=CC=C5)C=C2)=N1,3,4.3594337,1.5806756,13.637177
228,C1(C[C@H]2COC(C3=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C([Fe]C6C=CC=C6)C=C3)=N2)=CC=CC=C1,3,4.347903,1.5545119,13.656173
229,CC[C@H](C)[C@H]1COC(C2=C([C@H]([Fe]C3C=CC=C3)C=C2)P(C4=CC=CC=C4)C5=CC=CC=C5)=N1,3,4.367825,1.5758775,13.629561
230,CC([C@H]1COC(C2=C(P(C3=CC=C(C=C3)OC)C4=CC=C(C=C4)OC)C([Fe]C5C=CC=C5)C=C2)=N1)C,3,4.3294296,1.6276478,13.6637945
231,CC([C@H]1COC(C2=C(P(C3=CC=CC4=C3C=CC=C4)C5=CC=CC6=C5C=CC=C6)C([Fe]C7C=CC=C7)C=C2)=N1)C,3,4.3360896,1.6218151,13.652033
232,C[C@H](C1=C(C(C=C1)[Fe]C2C=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)N(C)C,6,-2.3464832,-5.5020003,17.222446
233,C[C@H](N(C)C)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C([Fe]C4C=CC=C4)C=C1,6,-2.3755639,-5.4949083,17.228636
234,C[C@@H](N(C)C)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C([Fe]C4C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C4)C=C1,6,-2.4029486,-5.4691396,17.225758
235,C[C@H](N(C)C)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C([Fe]C4C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C4)C=C1,6,-2.4145753,-5.4672713,17.225323
236,C[C@@H](N(C)C)C1=C(P(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)C([Fe]C4C=CC=C4)C=C1,6,-1.9434538,-5.5000377,17.318737
237,CN(P(C1=CC=CC=C1)C2=CC=CC=C2)[C@H](C)C3=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C([Fe]C6C=CC=C6)C=C3,6,-2.3015373,-5.5293465,17.218382
238,CN(C1=CC=CC=C1P(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)C,8,-3.0288908,-2.2096517,5.276394
239,N[C@@H](CCC1)C2=C1C=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,8,-0.116243966,-0.26372087,5.4794173
240,N[C@@H](C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,8,-0.11289702,-0.29041737,5.4703293
241,NCCCP(C1=CC=CC=C1)C2=CC=CC=C2,8,1.5959816,-0.33248392,5.043428
242,CC(CO1)(C)N=C1C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,3,6.4482093,1.5177475,12.64676
243,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCNCCP(C3=CC=CC=C3)C4=CC=CC=C4,8,1.6162004,-0.33296975,5.042956
244,C1(CCP(C2=CC=CC=C2)C3=CC=CC=C3)=NC=CC=C1,8,1.6381176,-0.3013396,5.0800037
245,CC(C)[C@@H](N)CP(C1=CC=CC=C1)C2=CC=CC=C2,8,1.5067462,-0.31271824,5.0513883
246,C1(P(C2=CC=CC=C2)C[C@H]3NCCC3)=CC=CC=C1,8,1.6156777,-0.3313822,5.044525
247,CC1(C)C2=C(C([C@@H](C3=CC=CC=C3C)N[S@@](C(C)(C)C)=O)=CC=C2)OC4=C1C=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6,2,-0.50494164,2.848548,7.076741
248,CC1(C)C2=C(C([C@@H](C3=CC=CC=C3)N[S@@](C(C)(C)C)=O)=CC=C2)OC4=C1C=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6,2,-0.50963753,2.855561,7.0808935
249,CC1(C)C2=C(C([C@H](C3=CC=C(C(C)(C)C)C=C3)N[S@@](C(C)(C)C)=O)=CC=C2)OC4=C1C=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6,2,-0.51146203,2.8621118,7.07636
250,O=[S@](C(C)(C)C)N[C@H](C1=CC=CC2=C1C=CC=C2)C3=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C3,2,-4.7650223,0.70205295,12.069656
251,C[C@H](C1=CC=CC=C1)N([C@H](C)C2=CC=CC=C2)P3OC4=CC=CC5=C4[C@]6(CCC7=C6C(O3)=CC=C7)CC5,2,-0.52329344,1.20313,7.5795355
252,C1(C(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C4)=C4CC[C@@]15CCC6=C5C(P(C7=CC=CC=C7)C8=CC=CC=C8)=CC=C6,2,-0.7514676,1.1581272,7.2787952
253,CN(C)P1OC2=CC=CC3=C2[C@]4(CCC5=C4C(O1)=CC=C5)CC3,2,-0.52738243,1.2097015,7.5831904
254,C1(C(OP(N2C(C=CC=C3)=C3C=CC4=C2C=CC=C4)O5)=CC=C6)=C6CC[C@@]17CCC8=C7C5=CC=C8,2,-0.5173672,1.2036973,7.5863523
255,C1(C(OP(OC2=CC=CC=C2)O3)=CC=C4)=C4CC[C@@]15CCC6=C5C3=CC=C6,2,-0.5177653,1.204562,7.5865884
256,NCCP1CC2=C(C3=C(C=CC=C4)C4=CC=C3C1)C5=CC=CC=C5C=C2,1,-2.0215805,1.2800579,4.4152646
257,C[C@H](N)[C@H](C1=CC=CC=C1)P2CC3=C(C4=C(C=CC=C5)C5=CC=C4C2)C6=CC=CC=C6C=C3,8,-0.53030616,-0.30219182,5.1795235
258,O=[S@](C(C)(C)C)N[C@H](C1=CC(C=CC=C2)=C2C=C1)C3=C(P(C4CCCCC4)C5CCCCC5)C=CC=C3,2,0.34882447,-0.76105154,11.196895
259,O=[S@](C(C)(C)C)N[C@H](CP(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=CC=C3,2,-4.753756,0.70827055,12.064434
260,C[C@@H](N[S@@](C(C)(C)C)=O)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1,2,-4.764538,0.70403147,12.073605
261,O=[S@](C(C)(C)C)N[C@H](C(C)(C)C)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1,2,-4.7487507,0.71140444,12.114621
262,O=[S@](C(C)(C)C)N[C@@H](C1=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OCC5=CC=CC=C5)=CC=C2,2,0.45714974,-0.72249097,11.375325
263,CC1(C)C2=C(C([C@H](C34C[C@H]5C[C@H](C[C@H](C5)C4)C3)N[S@@](C(C)(C)C)=O)=CC=C2)OC6=C1C=CC=C6P(C7=CC=CC=C7)C8=CC=CC=C8,2,-0.5382642,2.9178534,7.1060233
264,O=[S@](C(C)(C)C)N(C)[C@@H](C1=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OCC5=CC=CC=C5)=CC=C2,2,0.42320803,-0.7489919,11.334036
265,O=[S@](C(C)(C)C)N[C@H](C1=CC=CC=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OCC5=CC=CC=C5)=CC=C2,2,0.44915855,-0.7256949,11.363013
266,O=[S@](C(C)(C)C)N[C@@H](C1=CC(C=CC=C2)=C2C=C1)C3=C(P(C4CCCCC4)C5CCCCC5)C(OCC6=CC=CC=C6)=CC=C3,2,0.47220916,-0.7153346,11.393847
267,CC(C=C1C)=CC(C)=C1N(CCN2C3=C(C)C=C(C)C=C3C)P2([H])=O,1,-4.281805,0.49188647,5.0125446
268,CC([C@@H](CP(C1=CC=CC=C1)C2=CC=CC=C2)N[S@@](C(C)(C)C)=O)(C)C,2,-4.738083,0.6936961,12.083892
269,O=[S@](C(C)(C)C)N(C)[C@H](C1=CC=CC=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,2,0.3146319,-0.7419376,11.150208
270,O=[S@](C(C)(C)C)N[C@H](C1=CC=C(OC)C=C1)C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,2,-4.806379,0.7571562,12.004406
271,CC1(C)C2=C(C([C@H](C3=CC=C(OC)C=C3)N[S@@](C(C)(C)C)=O)=CC=C2)OC4=C1C=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6,2,-0.49460515,2.8469274,7.06697
272,CC1(C)C2=C(C([C@@H](C)N[S@@](C(C)(C)C)=O)=CC=C2)OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5,2,-0.54903406,2.9075346,7.1182857
273,O=[S@](C(C)(C)C)N(C)[C@H](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,2,0.38958913,-0.822587,11.285505
274,O=[S@](C(C)(C)C)N[C@@H](C1=CC=CC=C1)C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2,2,-4.8728433,0.8240132,11.928322
275,O=[S@](C(C)(C)C)N[C@@H](C1=CC=C(OC)C=C1)C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2,2,-4.8575354,0.8087768,11.946659
276,O=[S@](C(C)(C)C)N[C@@H](C1=CC(C)=CC(C)=C1)C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,2,-4.790431,0.74267375,12.022223
277,O=[S@](C(C)(C)C)N[C@H](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2,2,-4.7686033,0.7791001,11.982916
278,O=[S@](C(C)(C)C)N[C@H](C(C)(C)C)C1=C(P(C2CCCCC2)C3CCCCC3)C=CC=C1,2,0.31434235,-0.7600944,11.158519
279,O=[S@](C(C)(C)C)N[C@H](C1=CC=CC=C1C)C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,2,0.30768427,-0.74937737,11.143004
280,O=[S@](C(C)(C)C)N[C@@H](C1=CC(C=CC=C2)=C2C=C1)C3=C(P(C4CCCCC4)C5CCCCC5)C=CC=C3,2,0.33876002,-0.7549841,11.185892
281,O=[S@](C(C)(C)C)N[C@@H](C1=CC=CC=C1)C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=C(OC)C(OC)=C2,2,-4.790775,0.748106,12.014616
282,O=[S@](C(C)(C)C)N[C@H](C1=CC=CC2=C1C=CC=C2)C3=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C3,2,-4.7882295,0.66336626,12.0778265
283,P(C1CCCCC1)(C2CCCCC2)CCCCP(C3CCCCC3)C4CCCCC4,8,-2.842823,-2.8497508,5.825465
284,CC(P(C(C)(C)C)CC1=C(CP(C(C)(C)C)C(C)(C)C)C=CC=C1)(C)C,8,-3.1686683,-2.173546,5.144197
285,CC(P(C(C)(C)C)CC1=CC(CP(C(C)(C)C)C(C)(C)C)=CC=C1)(C)C,8,-3.1690195,-2.148996,5.145333
286,P(C1CCCCC1)(C2CCCCC2)CCCP(C3CCCCC3)C4CCCCC4,8,-2.8486996,-2.8450367,5.818637
287,P(C1CCCCC1)(C2CCCCC2)CP(C3CCCCC3)C4CCCCC4,8,-2.8324134,-2.8583684,5.8324747
288,CCP(CC)CCP(CC)CC,8,-3.4058197,-2.3627586,5.244392
289,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1OC4=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C4,8,-0.030175153,0.033164155,5.701853
290,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,8,1.6125124,-0.32905895,5.0474043
291,CC1(C)C2=C(C(P(C(C)(C)C)C(C)(C)C)=CC=C2)OC3=C1C=CC=C3P(C(C)(C)C)C(C)(C)C,2,-0.535552,2.2736437,7.1247306
292,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC4=C1OC(C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C7)=C7N4,8,-0.07078654,0.089921325,5.7273574
293,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1OC4=C(P(C5CCCCC5)C6CCCCC6)C=CC=C4,2,0.28102964,-0.6298235,11.087663
294,CC(C)N(P(C1=CC=CC=C1)C2=CC=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4,8,0.07935614,-0.061447553,5.514563
295,CC1(C)C2=C(C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC(S(=O)(O[Na])=O)=C2)OC5=C1C=C(S(=O)(O[Na])=O)C=C5P(C6=CC=CC=C6)C7=CC=CC=C7,2,-0.47394347,2.8211277,7.0483117
296,C1(P(C2=CC=CC=C2)NP(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,8,0.085546404,-0.050069068,5.494439
