ID,SMILES,Cluster,UMAP1,UMAP2,UMAP3
31,CC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CC#C)C3=N[C@@H](C4=CC=CC=C4)CO3,0,9.394516,4.6491194,8.215885
32,N#CC(C1=N[C@@H](C2=CC=CC=C2)CO1)C3=N[C@@H](C4=CC=CC=C4)CO3,9,8.616866,4.2308292,10.186569
33,CC(C1=N[C@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)O1)(C)C4=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4,9,8.787768,4.404529,11.561842
34,CC(C1=N[C@H](C2=CC=CC=C2)[C@@H](C3=CC=CC=C3)O1)(C)C4=N[C@H](C5=CC=CC=C5)[C@@H](C6=CC=CC=C6)O4,9,8.80334,4.387574,11.576036
35,CCC(C1=N[C@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)O1)(CC)C4=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4,9,8.707766,4.488405,11.452944
36,C1(C2(CCCC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,9,7.9591017,6.1054,13.1035595
37,C1(C2(CCCCC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,9,7.9585094,6.1067233,13.104654
38,CC(C1=N[C@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)O1)(CC4=CC=CC=C4)C5=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O5,9,8.7116585,4.4776907,11.459587
39,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)[C@@H](C4=CC=CC=C4)O2)(CC5=CC=C(C(C)(C)C)C=C5)C6=N[C@@H](C7=CC=CC=C7)[C@@H](C8=CC=CC=C8)O6)(C)C,0,9.215956,5.2905045,7.61927
40,C1(C2(CCCCC2)C3=N[C@@H](C4=CC=CC=C4)C(C5=CC=CC=C5)(C6=CC=CC=C6)O3)=N[C@@H](C7=CC=CC=C7)C(C8=CC=CC=C8)(C9=CC=CC=C9)O1,0,9.084312,5.6161284,7.285875
41,FC(C=C1)=CC=C1CC(C2=N[C@@H](C(C)C)CO2)(CC3=CC=C(F)C=C3)C4=N[C@@H](C(C)C)CO4,0,10.472206,3.239271,7.647819
42,ClC(C=C1)=CC=C1CC(C2=N[C@@H](C(C)C)CO2)(CC3=CC=C(Cl)C=C3)C4=N[C@@H](C(C)C)CO4,0,10.4698715,3.2431264,7.645833
43,CC([C@H]1COC(C(CC2=CC=C(OC)C=C2)(CC3=CC=C(OC)C=C3)C4=N[C@@H](C(C)C)CO4)=N1)C,0,10.473756,3.2402,7.6449957
44,CC([C@H]1COC(C(CC2=CC=C(C(C)(C)C)C=C2)(CC3=CC=C(C(C)(C)C)C=C3)C4=N[C@@H](C(C)C)CO4)=N1)C,0,10.398985,3.3353539,7.679631
45,CC([C@H]1COC(C(CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)(CC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C4=N[C@@H](C(C)C)CO4)=N1)C,0,10.401736,3.3292198,7.667423
46,CC1=CC(C)=CC(CC(C2=N[C@@H](C(C)C)CO2)(CC3=CC(C)=CC(C)=C3)C4=N[C@@H](C(C)C)CO4)=C1,0,10.41426,3.307674,7.637047
47,C1(CC2=N[C@@H](C3=CC=CC=C3)CO2)=N[C@@H](C4=CC=CC=C4)CO1,9,8.63322,4.2164826,10.167056
48,C1(C(CC2=CC=CC=C2)(CC3=CC=CC=C3)C4=N[C@@H](CC5=CC=CC=C5)CO4)=N[C@@H](CC6=CC=CC=C6)CO1,0,9.601809,4.1232033,7.780011
49,CC([C@H]1COC(CC2=N[C@@H](C(C)C)CO2)=N1)C,7,11.057666,-0.78438705,8.496285
50,CC(C1=N[C@@H](C(C)C)CO1)(C)C2=N[C@@H](C(C)C)CO2,7,11.096498,-0.77109694,8.428831
51,CC([C@H]1COC(C(CC)(CC)C2=N[C@@H](C(C)C)CO2)=N1)C,7,11.105275,-0.763825,8.385453
52,CC([C@H]1COC(C2(CCCC2)C3=N[C@@H](C(C)C)CO3)=N1)C,7,11.085119,-0.8466832,8.529143
53,CC([C@H]1COC(C(C)(CC2=CC=CC=C2)C3=N[C@@H](C(C)C)CO3)=N1)C,0,10.65202,3.0369203,7.700139
54,CC([C@H]1COC(C(CC2=CC=CC=C2)(CC3=CC=CC=C3)C4=N[C@@H](C(C)C)CO4)=N1)C,0,10.487029,3.2275312,7.641768
55,CC(C1=N[C@@H](C(C)C)CO1)C2=N[C@@H](C(C)C)CO2,7,11.089026,-0.7840906,8.482774
56,CC([C@H]1COC(C(CC2=C(C=CC=C3)C3=CC4=C2C=CC=C4)(CC5=C(C=CC=C6)C6=CC7=C5C=CC=C7)C8=N[C@@H](C(C)C)CO8)=N1)C,0,10.343926,3.378745,7.5908046
57,C1(CC2=N[C@@H](CC3=CC=CC=C3)CO2)=N[C@@H](CC4=CC=CC=C4)CO1,9,8.412021,4.5673337,9.849218
58,CC(C1=N[C@@H](CC2=CC=CC=C2)CO1)(C)C3=N[C@@H](CC4=CC=CC=C4)CO3,0,9.5485935,4.1514955,7.769066
59,C1(C2(CCCC2)C3=N[C@@H](CC4=CC=CC=C4)CO3)=N[C@@H](CC5=CC=CC=C5)CO1,9,8.243522,4.779968,9.76451
60,C1(C2(CCCCC2)C3=N[C@@H](CC4=CC=CC=C4)CO3)=N[C@@H](CC5=CC=CC=C5)CO1,9,8.224392,4.7994165,9.7456665
61,CC(C1=N[C@@H](CC2=CC=CC=C2)CO1)(CC3=CC=CC=C3)C4=N[C@@H](CC5=CC=CC=C5)CO4,0,9.559411,4.143991,7.7664027
62,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](CC3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](CC6=CC=CC=C6)CO5)(C)C,0,9.742497,4.057617,7.7630553
63,CCC(C1=N[C@@H](CC2=CC=CC=C2)CO1)(CC)C3=N[C@@H](CC4=CC=CC=C4)CO3,0,9.550184,4.1486006,7.7612557
64,N#CC(C1=N[C@@H](CC2=CC=CC=C2)CO1)C3=N[C@@H](CC4=CC=CC=C4)CO3,9,8.501235,4.4329453,9.935269
65,C1(C2(CC2)C3=N[C@@H](CC4=CC=CC=C4)CO3)=N[C@@H](CC5=CC=CC=C5)CO1,9,8.239596,4.7837787,9.7584305
66,C1(C(CC2=NC(C=CC=C3)=C3C=C2)(CC4=CC=C(C=CC=C5)C5=N4)C6=N[C@@H](CC7=CC=CC=C7)CO6)=N[C@@H](CC8=CC=CC=C8)CO1,0,9.597378,4.1162705,7.7613616
67,CC([C@H]1COC(C2(CCCCC2)C3=N[C@@H](C(C)C)CO3)=N1)C,7,11.084537,-0.84470934,8.5269
68,CC([C@H]1COC(C2(CC2)C3=N[C@@H](C(C)C)CO3)=N1)C,7,11.06784,-0.84976304,8.505759
69,C1(C2(CCCC2)C3=N[C@@H](C4=CC=CC=C4)CO3)=N[C@@H](C5=CC=CC=C5)CO1,9,11.218629,8.404287,10.272407
70,CC([C@H]1COC(C2(CCCCCC2)C3=N[C@@H](C(C)C)CO3)=N1)C,7,11.084201,-0.84613144,8.535927
71,CC(C)C[C@@H](CO1)N=C1C(C)(C)C2=N[C@@H](CC(C)C)CO2,7,11.473073,-0.70594084,7.510637
72,CC(C1=N[C@@H](C(C)C)CO1)(CC2=CC=CC=C2)C3=N[C@@H](C(C)C)CO3,0,10.658132,3.0297236,7.7006817
73,C[C@H]1COC(C(C)(CC2=CC=CC=C2)C3=N[C@@H](C)CO3)=N1,0,10.6588955,3.0308049,7.7021656
74,C[C@H]1COC(C(C)(C)C2=N[C@@H](C)CO2)=N1,7,11.137571,-0.5479728,7.690524
75,C[C@H]1COC(C(CC2=CC=C(C(C)(C)C)C=C2)(CC3=CC=C(C(C)(C)C)C=C3)C4=N[C@@H](C)CO4)=N1,0,10.183301,3.6204772,7.695676
76,CC(C1=N[C@@H](C(C)(C)C)CO1)(C)C2=N[C@@H](C(C)(C)C)CO2,7,10.962417,-0.46197182,7.6400914
77,CCC(C1=N[C@@H](C(C)(C)C)CO1)(CC)C2=N[C@@H](C(C)(C)C)CO2,7,10.957511,-0.44229567,7.63822
78,CC([C@H]1COC(C(CC2=CC=CC=C2)(CC3=CC=CC=C3)C4=N[C@@H](C(C)(C)C)CO4)=N1)(C)C,0,10.220138,3.8358192,7.88298
79,CC([C@H]1COC(CC2=N[C@@H](C(C)(C)C)CO2)=N1)(C)C,7,10.937246,-0.42914617,7.6242948
80,CC([C@H]1COC(C2(CCCC2)C3=N[C@@H](C(C)(C)C)CO3)=N1)(C)C,7,10.825241,-0.34466934,7.4648156
81,CC([C@H]1COC(C2(CCCCC2)C3=N[C@@H](C(C)(C)C)CO3)=N1)(C)C,7,10.819108,-0.34102497,7.461489
82,CC([C@H]1COC(C2(CC2)C3=N[C@@H](C(C)(C)C)CO3)=N1)(C)C,7,10.839126,-0.36106557,7.4827766
83,CC([C@H]1COC(C2(CC(C=CC=C3)=C3C2)C4=N[C@@H](C(C)(C)C)CO4)=N1)(C)C,7,10.826668,-0.34477198,7.4606752
84,CC([C@H]1COC(C2(CCC2)C3=N[C@@H](C(C)(C)C)CO3)=N1)(C)C,7,10.823213,-0.34471557,7.4675655
85,CC([C@H]1COC(C2(CCCCCC2)C3=N[C@@H](C(C)(C)C)CO3)=N1)(C)C,7,10.827318,-0.34170628,7.451651
86,CC([C@H]1COC(C(CC2=CC=C(C(C)(C)C)C=C2)(CC3=CC=C(C(C)(C)C)C=C3)C4=N[C@@H](C(C)(C)C)CO4)=N1)(C)C,0,10.204557,3.6932256,7.7882137
87,CC([C@H]1COC(C(C#N)C2=N[C@@H](C(C)C)CO2)=N1)C,7,11.124925,-0.73862606,8.427335
88,CC(C1=N[C@@H](CC2=CC=CC=C2)CO1)C3=N[C@@H](CC4=CC=CC=C4)CO3,9,8.482322,4.482119,9.867039
89,C1(C2(CCCCCC2)C3=N[C@@H](CC4=CC=CC=C4)CO3)=N[C@@H](CC5=CC=CC=C5)CO1,9,8.215062,4.80995,9.736862
90,C1(C2(CCC2)C3=N[C@@H](CC4=CC=CC=C4)CO3)=N[C@@H](CC5=CC=CC=C5)CO1,9,8.233701,4.7902427,9.754324
91,C1(C2(CC3=CC=CC=C3C2)C4=N[C@@H](CC5=CC=CC=C5)CO4)=N[C@@H](CC6=CC=CC=C6)CO1,9,8.238488,4.7860785,9.757904
92,CC(C)C[C@@H](CO1)N=C1CC2=N[C@@H](CC(C)C)CO2,7,11.467493,-0.6978311,7.507425
93,CC(C)C[C@@H](CO1)N=C1C2(CC(C=CC=C3)=C3C2)C4=N[C@@H](CC(C)C)CO4,7,11.461271,-0.69092506,7.5014024
94,CC(C[C@H]1COC(C2(CC2)C3=N[C@@H](CC(C)C)CO3)=N1)C,7,11.456413,-0.68600994,7.4987936
95,CC(C[C@H]1COC(C(CC2=CC=C(C(C)(C)C)C=C2)(CC3=CC=C(C(C)(C)C)C=C3)C4=N[C@@H](CC(C)C)CO4)=N1)C,0,10.070423,3.745607,7.769437
96,CC(C1=N[C@@H](CC(C)C)CO1)(C)C2=N[C@@H](CC(C)C)CO2,7,11.467505,-0.6974931,7.507698
97,CC(C[C@H]1COC(C2(CC(C=CC=C3)=C3C2)C4=N[C@@H](CC(C)C)CO4)=N1)C,7,11.461131,-0.689255,7.4975734
98,C1(CC2=N[C@@H](C3CCCCC3)CO2)=N[C@@H](C4CCCCC4)CO1,7,10.988073,-0.8759225,9.531287
99,CC(C1=N[C@@H](C2CCCCC2)CO1)(C)C3=N[C@@H](C4CCCCC4)CO3,7,11.018565,-0.84895074,9.466689
100,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3CCCCC3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6CCCCC6)CO5)(C)C,0,10.184747,3.5850277,7.614479
101,C1(C(CC2=CC=CC=C2)(CC3=CC=CC=C3)C4=N[C@@H](C5CCCCC5)CO4)=N[C@@H](C6CCCCC6)CO1,0,10.191728,3.5625427,7.5861125
102,C1(C2(CCC2)C3=N[C@@H](C4CCCCC4)CO3)=N[C@@H](C5CCCCC5)CO1,7,11.019795,-0.8528289,9.453808
103,C1(C(CC2=C(C=CC=C3)C3=CC4=C2C=CC=C4)(CC5=C(C=CC=C6)C6=CC7=C5C=CC=C7)C8=N[C@@H](C9CCCCC9)CO8)=N[C@@H](C%10CCCCC%10)CO1,0,10.193986,3.5587797,7.5843897
104,CC(C1=N[C@@H](C2CCCCC2)CO1)(CC3=CC=CC=C3)C4=N[C@@H](C5CCCCC5)CO4,0,10.199301,3.5506117,7.5855155
105,CC(C1=N[C@@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)(CC5=CC=CC=C5)C6=N[C@@H](C7=CC=CC=C7)C(C8=CC=CC=C8)(C9=CC=CC=C9)O6,0,9.142707,5.5306783,7.3679543
106,CC(C1=N[C@@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)(C)C5=N[C@@H](C6=CC=CC=C6)C(C7=CC=CC=C7)(C8=CC=CC=C8)O5,0,9.143699,5.5357394,7.3623185
107,C1(C2(CC2)C3=N[C@@H](C4=CC=CC=C4)C(C5=CC=CC=C5)(C6=CC=CC=C6)O3)=N[C@@H](C7=CC=CC=C7)C(C8=CC=CC=C8)(C9=CC=CC=C9)O1,0,9.076966,5.6241674,7.278212
108,C1(C2(CCCC2)C3=N[C@@H](C4=CC=CC=C4)C(C5=CC=CC=C5)(C6=CC=CC=C6)O3)=N[C@@H](C7=CC=CC=C7)C(C8=CC=CC=C8)(C9=CC=CC=C9)O1,0,9.091665,5.6045017,7.296921
109,N#C/C(C1=N[C@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)O1)=C4N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O/4,9,8.583545,3.9515123,11.173116
110,CC(C(C=C1)=CC=C1[C@H]2COC(CC3=N[C@@H](C4=CC=C(C(C)(C)C)C=C4)CO3)=N2)(C)C,0,9.53415,4.7503524,7.9874945
111,CC(C(O1)=N[C@@H]2[C@H]1CC3=C2C=CC=C3)C(O4)=N[C@@H]5[C@H]4CC6=C5C=CC=C6,5,0.44425607,9.869022,5.6434145
